what,kind,bundleId,bundleVersion,description,time
processors,sysinfo,,,"16",1649564697551
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1649564697551
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1649564697551
java.specification.name,sysinfo,,,"Java Platform API Specification",1649564697551
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1649564697551
java.specification.version,sysinfo,,,"1.6",1649564697551
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1649564697551
java.version,sysinfo,,,"1.6.0_23",1649564697551
java.vm.info,sysinfo,,,"mixed mode",1649564697551
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1649564697551
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1649564697551
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1649564697551
java.vm.specification.version,sysinfo,,,"1.0",1649564697551
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1649564697551
java.vm.version,sysinfo,,,"19.0-b09",1649564697551
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1649564701488
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1649564703059
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1649564707025
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1649564707123
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1649564717371
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.opendecl",1649564718671
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1649564718769
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1649564718841
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1649564722254
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.backwardHistory",1649564722257
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649564729901
